[2021-12-16 16:59:23.089] [error] mpd: Failed to connect to MPD: Connection refused
[2021-12-16 16:59:33.091] [error] mpd: Failed to connect to MPD: Connection refused
[2021-12-16 16:59:43.093] [error] mpd: Failed to connect to MPD: Connection refused
[2021-12-16 16:59:53.095] [error] mpd: Failed to connect to MPD: Connection refused
[2021-12-16 17:00:03.097] [error] mpd: Failed to connect to MPD: Connection refused
[2021-12-16 17:00:13.100] [error] mpd: Failed to connect to MPD: Connection refused
[2021-12-16 17:00:23.101] [error] mpd: Failed to connect to MPD: Connection refused
[2021-12-16 17:00:33.104] [error] mpd: Failed to connect to MPD: Connection refused
[2021-12-16 17:00:43.106] [error] mpd: Failed to connect to MPD: Connection refused
[2021-12-16 17:00:53.108] [error] mpd: Failed to connect to MPD: Connection refused
[2021-12-16 17:01:03.110] [error] mpd: Failed to connect to MPD: Connection refused
[2021-12-16 17:01:13.112] [error] mpd: Failed to connect to MPD: Connection refused
[2021-12-16 17:01:23.114] [error] mpd: Failed to connect to MPD: Connection refused
[2021-12-16 17:01:33.116] [error] mpd: Failed to connect to MPD: Connection refused
[2021-12-16 17:01:43.118] [error] mpd: Failed to connect to MPD: Connection refused
[2021-12-16 17:01:53.120] [error] mpd: Failed to connect to MPD: Connection refused
[2021-12-16 17:02:03.121] [error] mpd: Failed to connect to MPD: Connection refused
[2021-12-16 17:02:13.123] [error] mpd: Failed to connect to MPD: Connection refused
[2021-12-16 17:02:23.125] [error] mpd: Failed to connect to MPD: Connection refused
[2021-12-16 17:02:33.127] [error] mpd: Failed to connect to MPD: Connection refused
[2021-12-16 17:02:43.128] [error] mpd: Failed to connect to MPD: Connection refused
[2021-12-16 17:02:53.130] [error] mpd: Failed to connect to MPD: Connection refused
[2021-12-16 17:03:03.131] [error] mpd: Failed to connect to MPD: Connection refused
[2021-12-16 17:03:13.133] [error] mpd: Failed to connect to MPD: Connection refused
[2021-12-16 17:03:23.135] [error] mpd: Failed to connect to MPD: Connection refused
[2021-12-16 17:03:33.137] [error] mpd: Failed to connect to MPD: Connection refused
[2021-12-16 17:03:43.138] [error] mpd: Failed to connect to MPD: Connection refused
[2021-12-16 17:03:53.140] [error] mpd: Failed to connect to MPD: Connection refused
[2021-12-16 17:04:03.142] [error] mpd: Failed to connect to MPD: Connection refused
[2021-12-16 17:04:13.144] [error] mpd: Failed to connect to MPD: Connection refused
[2021-12-16 17:04:23.146] [error] mpd: Failed to connect to MPD: Connection refused
[2021-12-16 17:04:33.148] [error] mpd: Failed to connect to MPD: Connection refused
[2021-12-16 17:04:43.150] [error] mpd: Failed to connect to MPD: Connection refused
[2021-12-16 17:04:53.152] [error] mpd: Failed to connect to MPD: Connection refused
[2021-12-16 17:05:03.154] [error] mpd: Failed to connect to MPD: Connection refused
[2021-12-16 17:05:13.157] [error] mpd: Failed to connect to MPD: Connection refused
[2021-12-16 17:05:23.158] [error] mpd: Failed to connect to MPD: Connection refused
[2021-12-16 17:05:33.160] [error] mpd: Failed to connect to MPD: Connection refused
[2021-12-16 17:05:43.161] [error] mpd: Failed to connect to MPD: Connection refused
[2021-12-16 17:05:53.163] [error] mpd: Failed to connect to MPD: Connection refused
[2021-12-16 17:06:03.165] [error] mpd: Failed to connect to MPD: Connection refused
[2021-12-16 17:06:13.167] [error] mpd: Failed to connect to MPD: Connection refused
[2021-12-16 17:06:23.169] [error] mpd: Failed to connect to MPD: Connection refused
[2021-12-16 17:06:33.171] [error] mpd: Failed to connect to MPD: Connection refused
[2021-12-16 17:06:43.173] [error] mpd: Failed to connect to MPD: Connection refused
[2021-12-16 17:06:53.175] [error] mpd: Failed to connect to MPD: Connection refused
[2021-12-16 17:07:03.176] [error] mpd: Failed to connect to MPD: Connection refused
[2021-12-16 17:07:13.178] [error] mpd: Failed to connect to MPD: Connection refused
